Class,"0","1"
ACC,0.64286,0.64286
AGF,0.0,0.0
AGM,0.0,0
AM,20,-20
AUC,0.5,0.5
AUCI,Poor,Poor
AUPR,0.82143,None
BCD,0.17857,0.17857
BM,0.0,0.0
CEN,0.47862,0.0
DOR,None,None
DP,None,None
DPI,None,None
ERR,0.35714,0.35714
F0.5,0.69231,0.0
F1,0.78261,0.0
F2,0.9,0.0
FDR,0.35714,None
FN,0,20
FNR,0.0,1.0
FOR,None,0.35714
FP,20,0
FPR,1.0,0.0
G,0.80178,None
GI,0.0,0.0
GM,0.0,0.0
IBA,0.0,0.0
IS,0.0,None
J,0.64286,0.0
LS,1.0,None
MCC,None,None
MCCI,None,None
MCEN,0.53051,0.0
MK,None,None
N,20,36
NLR,None,1.0
NLRI,None,Negligible
NPV,None,0.64286
OC,1.0,None
OOC,0.80178,None
OP,-0.35714,-0.35714
P,36,20
PLR,1.0,None
PLRI,Poor,None
POP,56,56
PPV,0.64286,None
PRE,0.64286,0.35714
Q,None,None
RACC,0.64286,0.0
RACCU,0.67474,0.03189
TN,0,36
TNR,0.0,1.0
TON,0,56
TOP,56,0
TP,36,0
TPR,1.0,0.0
Y,0.0,0.0
dInd,1.0,1.0
sInd,0.29289,0.29289
